Type,Content,FileName,FileType,ColorSpace,RotationAngle,PixelRoundness,PixelColorType,PixelColorStart,PixelColorEnd,BackgroundColorType,BackgroundColor,ReliabilityLevel,AddIcon,IconPath,IconSize,IconBorderPercent,OutputSize
URL,https://lt.yzu.us/LT.html?LTID=1,1TimeStop.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=2,2Bridge.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=3,3LTHNorth.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=4,4StoryWall.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=5,5HolyHell.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=6,6TimeLineHell.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=7,7LTHSorth.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=8,8LTActivity.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=9,9OldHallPark.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
URL,https://lt.yzu.us/LT.html?LTID=10,10LoveMount.pdf,PDF,Grayscale,,0.2,Solid,#000000,,Transparent,#FFFFFF,Highest,No,,,,1024
